P13727	Homo sapiens	Metazoa	222	16
P43497	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	92	20
P51654	Homo sapiens	Metazoa	580	24
Q9NTU7	Homo sapiens	Metazoa	201	27
P00651	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	130	26
P51460	Homo sapiens	Metazoa	131	20
Q8MI35	Sus scrofa	Metazoa	152	32
P35053	Rattus norvegicus	Metazoa	558	23
O62605	Galleria mellonella	Metazoa	218	16
P06681	Homo sapiens	Metazoa	752	20
G4ZHR2	Phytophthora sojae (strain P6497)	Other	241	19
P18709	Xenopus laevis	Metazoa	1807	15
Q28989	Sus scrofa	Metazoa	421	26
O14412	Orpinomyces sp. (strain PC-2)	Fungi	245	29
Q8N126	Homo sapiens	Metazoa	398	24
A0A1L6K371	Juglans nigra	Viridiplantae	510	23
Q9Y251	Homo sapiens	Metazoa	543	35
Q9C9H5	Arabidopsis thaliana	Viridiplantae	484	21
Q55GS3	Dictyostelium discoideum	Other	607	19
Q62192	Mus musculus	Metazoa	661	20
P13598	Homo sapiens	Metazoa	275	24
Q96HF1	Homo sapiens	Metazoa	295	24
P22894	Homo sapiens	Metazoa	467	20
Q8T0W3	Pimpla hypochondriaca	Metazoa	63	25
P32358	Bombyx mori	Metazoa	579	15
Q12127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133	18
P15309	Homo sapiens	Metazoa	386	32
O43866	Homo sapiens	Metazoa	347	19
Q9NSA1	Homo sapiens	Metazoa	209	28
Q8LG54	Arabidopsis thaliana	Viridiplantae	130	21
P0DKU2	Pandinus imperator	Metazoa	145	15
P29421	Oryza sativa subsp. japonica	Viridiplantae	200	22
P11021	Homo sapiens	Metazoa	654	18
O46167	Eratigena agrestis	Metazoa	68	17
P27275	Amaranthus caudatus	Viridiplantae	86	25
Q9H1M4	Homo sapiens	Metazoa	99	20
Q6QD51	Rattus norvegicus	Metazoa	949	27
B8JLQ9	Danio rerio	Metazoa	363	24
P08236	Homo sapiens	Metazoa	651	22
P22412	Sus scrofa	Metazoa	409	16
Q16552	Homo sapiens	Metazoa	155	23
O97939	Sus scrofa	Metazoa	1142	38
P0DPU9	Myrmecia gulosa	Metazoa	67	25
Q84ZX5	Artemisia vulgaris	Viridiplantae	132	24
O42807	Aspergillus niger	Fungi	281	21
Q96KN2	Homo sapiens	Metazoa	507	25
Q9JI59	Mus musculus	Metazoa	298	28
Q8LD43	Arabidopsis thaliana	Viridiplantae	62	22
P04275	Homo sapiens	Metazoa	2813	22
P13385	Homo sapiens	Metazoa	188	30
P68248	Gallus gallus	Metazoa	80	25
Q01129	Rattus norvegicus	Metazoa	354	16
P07727	Rattus norvegicus	Metazoa	457	28
O62680	Sus scrofa	Metazoa	123	25
B9A8D7	Crassostrea virginica	Metazoa	85	18
Q95P08	Scutigera coleoptrata	Metazoa	656	18
O76537	Trichoplusia ni	Metazoa	182	16
F1N5C8	Bos taurus	Metazoa	445	22
Q39962	Hevea brasiliensis	Viridiplantae	238	31
Q8WUJ3	Homo sapiens	Metazoa	1361	30
Q95121	Bos taurus	Metazoa	416	20
Q27908	Pinctada fucata	Metazoa	447	17
O76818	Agrotis ipsilon	Metazoa	193	19
Q9SUQ8	Arabidopsis thaliana	Viridiplantae	187	29
P01148	Homo sapiens	Metazoa	92	23
P52823	Homo sapiens	Metazoa	247	17
Q9H293	Homo sapiens	Metazoa	177	32
P01027	Mus musculus	Metazoa	1663	24
P33487	Arabidopsis thaliana	Viridiplantae	198	33
Q9Y5U5	Homo sapiens	Metazoa	241	25
Q9Y2E5	Homo sapiens	Metazoa	1009	23
O75462	Homo sapiens	Metazoa	422	37
A0A0F7YZQ7	Conus victoriae	Metazoa	100	24
Q5BGU9	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	366	18
P09486	Homo sapiens	Metazoa	303	17
A4LAR6	Grifola frondosa	Fungi	107	24
O96910	Aplysia californica	Metazoa	76	18
Q25055	Holotrichia diomphalia	Metazoa	104	20
O60609	Homo sapiens	Metazoa	400	31
Q16627	Homo sapiens	Metazoa	93	19
P55203	Bos taurus	Metazoa	1110	56
Q945U0	Phytophthora sojae	Other	257	28
P22362	Homo sapiens	Metazoa	96	23
Q39649	Cucurbita maxima	Viridiplantae	141	22
P80370	Homo sapiens	Metazoa	383	23
Q8C1Q4	Mus musculus	Metazoa	291	21
P01833	Homo sapiens	Metazoa	764	18
Q39688	Daucus carota	Viridiplantae	389	24
P07994	Bos taurus	Metazoa	360	17
Q13145	Homo sapiens	Metazoa	260	20
P48765	Bos taurus	Metazoa	970	32
P17690	Bos taurus	Metazoa	345	19
Q92765	Homo sapiens	Metazoa	325	32
P03998	Limulus polyphemus	Metazoa	195	20
Q9GSA4	Galleria mellonella	Metazoa	113	19
P80109	Bos taurus	Metazoa	839	23
Q9U8X3	Tachypleus tridentatus	Metazoa	67	23
P19034	Bos taurus	Metazoa	101	22
D4A540	Rattus norvegicus	Metazoa	148	31
P15289	Homo sapiens	Metazoa	507	18
Q15399	Homo sapiens	Metazoa	786	24
Q16568	Homo sapiens	Metazoa	116	27
P03971	Homo sapiens	Metazoa	560	24
E0X9F6	Thaumetopoea pityocampa	Metazoa	126	18
P18657	Macaca fascicularis	Metazoa	83	26
P42660	Aedes aegypti	Metazoa	471	19
P82143	Gloydius brevicaudus siniticus	Metazoa	200	19
P01579	Homo sapiens	Metazoa	166	23
Q8MI01	Bos taurus	Metazoa	330	23
P24817	Momordica charantia	Viridiplantae	286	23
P13612	Homo sapiens	Metazoa	1032	33
Q8L5J1	Solanum lycopersicum	Viridiplantae	399	26
B1P0S1	Pseudopleuronectes americanus	Metazoa	218	23
Q59Y31	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	533	21
P01168	Sus scrofa	Metazoa	116	24
A1XCI9	Fusarium culmorum	Fungi	191	18
B2NHN2	Talaromyces funiculosus	Fungi	339	20
Q8SXL2	Drosophila melanogaster	Metazoa	136	24
Q9BZW8	Homo sapiens	Metazoa	370	21
I6RA76	Scolopendra mutilans	Metazoa	64	18
P04552	Haliotis rufescens	Metazoa	154	18
P0DQE1	Scolopendra dehaani	Metazoa	109	23
P42578	Lymnaea stagnalis	Metazoa	239	18
Q9BX59	Homo sapiens	Metazoa	468	18
P13917	Glycine max	Viridiplantae	427	24
P07529	Naganishia albida	Fungi	332	21
P22327	Trichoplusia ni	Metazoa	624	18
Q9GU69	Lymnaea stagnalis	Metazoa	64	21
P18684	Protophormia terraenovae	Metazoa	101	18
P79263	Sus scrofa	Metazoa	921	27
O35806	Rattus norvegicus	Metazoa	1764	35
P09470	Mus musculus	Metazoa	1312	34
Q8NBN3	Homo sapiens	Metazoa	555	21
Q91XZ4	Mus musculus	Metazoa	772	28
Q9Z1K9	Rattus norvegicus	Metazoa	827	17
P27731	Gallus gallus	Metazoa	150	20
Q2U4L7	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	690	20
Q96BY9	Homo sapiens	Metazoa	339	30
Q07092	Homo sapiens	Metazoa	1604	21
P04925	Mus musculus	Metazoa	254	22
Q8N766	Homo sapiens	Metazoa	993	22
Q6T6C2	Theromyzon tessulatum	Metazoa	97	22
P55058	Homo sapiens	Metazoa	493	17
Q8VCS0	Mus musculus	Metazoa	530	22
P01131	Bos taurus	Metazoa	845	21
P13725	Homo sapiens	Metazoa	252	25
P12318	Homo sapiens	Metazoa	317	33
Q06K77	Phlebotomus duboscqi	Metazoa	336	21
I1SB12	Microdochium nivale	Fungi	495	22
Q9BXJ7	Homo sapiens	Metazoa	453	19
Q59XX2	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	378	32
P25033	Hyalophora cecropia	Metazoa	413	19
P80022	Solanum lycopersicum	Viridiplantae	230	25
P13686	Homo sapiens	Metazoa	325	21
P0CX77	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	362	25
P36897	Homo sapiens	Metazoa	503	33
Q13231	Homo sapiens	Metazoa	466	21
P30659	Lutzomyia longipalpis	Metazoa	86	23
Q8MVA6	Ixodes scapularis	Metazoa	69	23
Q02795	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	286	19
A0A0R4I951	Scolopendra dehaani	Metazoa	70	23
U6BLZ9	Penicillium canescens	Fungi	463	26
P29022	Zea mays	Viridiplantae	280	25
Q96S96	Homo sapiens	Metazoa	227	22
P0C8G7	Pomacea canaliculata	Metazoa	286	30
P04557	Bos taurus	Metazoa	140	25
O08795	Mus musculus	Metazoa	521	14
Q969H8	Homo sapiens	Metazoa	173	31
P01137	Homo sapiens	Metazoa	390	29
P11717	Homo sapiens	Metazoa	2491	40
Q3C258	Actinia equina	Metazoa	70	20
P31358	Homo sapiens	Metazoa	61	24
Q7M418	Oligobrachia mashikoi	Metazoa	163	16
Q08738	Bombyx mori	Metazoa	239	16
Q6UW32	Homo sapiens	Metazoa	110	24
P10762	Locusta migratoria	Metazoa	179	16
O43155	Homo sapiens	Metazoa	660	35
P15516	Homo sapiens	Metazoa	51	19
Q9LXD6	Arabidopsis thaliana	Viridiplantae	773	23
Q8H8C7	Oryza sativa subsp. japonica	Viridiplantae	356	28
Q75WF2	Acanthaster planci	Metazoa	358	26
P21128	Homo sapiens	Metazoa	410	18
Q8MMH5	Pimpla hypochondriaca	Metazoa	61	20
Q8X150	Gaeumannomyces tritici	Fungi	618	16
Q9NAX4	Dictyostelium discoideum	Other	464	17
Q6XE38	Homo sapiens	Metazoa	83	21
Q42656	Coffea arabica	Viridiplantae	378	15
D3GDK4	Cryptopygus antarcticus	Metazoa	225	15
P06205	Limulus polyphemus	Metazoa	242	24
P08069	Homo sapiens	Metazoa	1367	30
P83869	Drosophila melanogaster	Metazoa	46	22
P29460	Homo sapiens	Metazoa	328	22
Q53NL5	Oryza sativa subsp. japonica	Viridiplantae	290	27
P0DSJ6	Myrmecia gulosa	Metazoa	62	24
P10124	Homo sapiens	Metazoa	158	27
Q9UHF4	Homo sapiens	Metazoa	553	29
P82384	Drosophila melanogaster	Metazoa	92	16
Q60GF7	Rattus norvegicus	Metazoa	252	22
Q28143	Bos taurus	Metazoa	456	35
Q95JC9	Sus scrofa	Metazoa	676	16
P56202	Homo sapiens	Metazoa	376	21
Q8WWA0	Homo sapiens	Metazoa	313	18
Q10NX8	Oryza sativa subsp. japonica	Viridiplantae	858	30
P51688	Homo sapiens	Metazoa	502	20
O93233	Gloydius brevicaudus siniticus	Metazoa	331	23
P69770	Conus marmoreus	Metazoa	94	25
Q8JFQ0	Bombina maxima	Metazoa	96	19
P52706	Prunus serotina	Viridiplantae	563	27
P23515	Homo sapiens	Metazoa	440	24
Q00657	Rattus norvegicus	Metazoa	2326	29
Q8NBK3	Homo sapiens	Metazoa	374	33
Q9NZV1	Homo sapiens	Metazoa	1036	34
O00206	Homo sapiens	Metazoa	839	23
P0CS93	Gibberella zeae	Fungi	680	24
Q7Z0T3	Aplysia californica	Metazoa	125	22
O14773	Homo sapiens	Metazoa	563	19
P28335	Homo sapiens	Metazoa	458	32
P02230	Chironomus thummi thummi	Metazoa	151	15
Q9HB40	Homo sapiens	Metazoa	452	26
O61668	Olivierus martensii	Metazoa	88	18
