['hp', 'ac']	8	scale	0.958 ± 0.003	0.804 ± 0.014	0.808 ± 0.009	0.806 ± 0.011	0.783 ± 0.012
['ah', 'ac']	8	scale	0.953 ± 0.002	0.795 ± 0.013	0.765 ± 0.015	0.779 ± 0.009	0.753 ± 0.010
['tm', 'ac']	8	scale	0.966 ± 0.001	0.839 ± 0.009	0.849 ± 0.009	0.844 ± 0.004	0.825 ± 0.005
['ch', 'ac']	8	scale	0.956 ± 0.002	0.811 ± 0.006	0.768 ± 0.017	0.789 ± 0.009	0.764 ± 0.010
['hp', 'ah', 'ac']	8	1	0.956 ± 0.002	0.793 ± 0.010	0.799 ± 0.011	0.796 ± 0.010	0.771 ± 0.011
['hp', 'tm', 'ac']	8	1	0.966 ± 0.001	0.837 ± 0.008	0.852 ± 0.008	0.844 ± 0.004	0.825 ± 0.004
['hp', 'ch', 'ac']	8	scale	0.961 ± 0.001	0.820 ± 0.006	0.824 ± 0.008	0.822 ± 0.005	0.800 ± 0.006
['ah', 'tm', 'ac']	8	scale	0.968 ± 0.001	0.846 ± 0.006	0.857 ± 0.007	0.851 ± 0.002	0.833 ± 0.003
['ah', 'ch', 'ac']	8	scale	0.954 ± 0.001	0.804 ± 0.008	0.766 ± 0.014	0.784 ± 0.008	0.759 ± 0.008
['tm', 'ch', 'ac']	8	1	0.969 ± 0.001	0.851 ± 0.003	0.864 ± 0.008	0.857 ± 0.004	0.840 ± 0.005
['hp', 'ah', 'tm', 'ac']	8	1	0.968 ± 0.001	0.850 ± 0.008	0.856 ± 0.007	0.853 ± 0.003	0.835 ± 0.004
['hp', 'ah', 'ch', 'ac']	8	1	0.960 ± 0.001	0.817 ± 0.007	0.818 ± 0.008	0.817 ± 0.007	0.795 ± 0.008
['hp', 'tm', 'ch', 'ac']	8	1	0.969 ± 0.001	0.844 ± 0.007	0.871 ± 0.012	0.857 ± 0.006	0.840 ± 0.007
['ah', 'tm', 'ch', 'ac']	8	1	0.969 ± 0.001	0.853 ± 0.005	0.864 ± 0.008	0.858 ± 0.006	0.841 ± 0.006
['hp', 'ah', 'tm', 'ch', 'ac']	8	1	0.970 ± 0.001	0.853 ± 0.008	0.871 ± 0.010	0.861 ± 0.007	0.844 ± 0.008
['ac']	1	scale	0.953 ± 0.003	0.789 ± 0.010	0.773 ± 0.017	0.781 ± 0.013	0.755 ± 0.014
